essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6,comments
6322,3,"In the story, the setting greatly affects the cyclist. The cyclist, pedaling through California, is obviously very hot in the “beautiful @DATE1.” He also runs out of water, which nearly dooms him. But that’s not the worst of it. The hills make him run out of water and energy even quicker. There are also no places to stop for water. The cyclist is lucky he survived the rugged terrain of California.",2,2,,2,,,,,,,,,,,,,,,,,,,,,"ID1,ORG2,STY1"
15639,6,"The dirigibles had @NUM1 obstacles to face, They had posidletys of fire, poping, and law troudle. They feared the dirigible would get on fire for it has hydrogen, that is rather highly flammable. They do not want to relate to the acsident that happened in lakehurst, New Jersey in May 6, 1937. also withe the fear of pops rase more concens. for the wind might blow it of chores into another building with a sharpe top that could possibley puncher the baloon. The feared this happening in downtown New York were it is highly populated. another reson prodley the biggest was that Empire State Building wanted a law for air crafts flying low over urban areas, so that ment there was no chance they could do what they were planing on doing.",2,3,,3,,,,,,,,,,,,,,,,,,,,,"ID1,ORG2,STY2"
6221,3,"The setting in the story greatly affected the cyclist. The main setting was that he was riding his bike in the desert. The desert is really hot so he needed more water than he would have if he were riding in the woods or if there was snow. Also there was hills on his travel that he had to ride his bike up which takes more  energy so again he would have needed more water than if the road was flat, finally, because of the terrain he was riding on the animals he ran into, a snake, could have hurt him. Because the setting of the story was in the desert the cyclist was affected more then he had thought he would be.",2,2,,2,,,,,,,,,,,,,,,,,,,,,"ID1,ORG1,STY2"
637,1,"Dear, To who it @MONTH1 concer, I am writing this to inform about how the ocmputers benefits society. I think computers aren't that great because people use certain websites. People use @CAPS1 messaging and its also a way getting connected to others. I also think that some people ae addicted because you can search someone or @CAPS5. You find top websites that maybe inapropriate for users who use the computers. Some computers are bad education to some kids who are trying to learn majority of kids use computers for internet access most kids will be on the computer playing games that @MONTH1 not be suitable for the age group. My first reason is when people get on the computer they find websites that others use. For example: @CAPS2, @CAPS3, @ORGANIZATION1, ect. Many people use websites to check the emails. For exmaple: @ORGANIZATION2, @LOCATION1L, @CAPS4.mail, ect. My other reason to you why people use websites is for @CAPS1 messaging. People sue @CAPS1 messaging to connect with their friends, family, & other people they @MONTH1 not know. People say its a faster connection to people @MONTH1 not could reach. For example: person doesn't have a phone, the person does not live close by & the person lives in another town. I also think it good research to browse people. For example you know someone but you can't find you can browse. Another second one is people maybe addicted. For example: they go on website & they go on it over & over & over again. they don't stop using it until it gone. In additional people think it keeps them busy. For example you don't have anything to do go on the computer. Lastly you find top websites that maybe inapropriate for users. For example, you find a website but its not suitable for minor. Only @CAPS5 adults could watch. One more thing computers aren't bad education. For example you can learn from apropriate websites that builds brain muscles. My opinion is that I do think computers benift the society because it mainly helps you brain storm & you get to know websites & learn about them.",4,4,,8,,,,,,,,,,,,,,,,,,,,,"ID2,ORG2,STY3"
15336,6,"Based on the excerpt The mooring Mast by @ORGANIZATION2, the @CAPS1 the builders of the Empire State Building faced in attempting to allow dirigibles to dock there were fire, wind, and the laws against airships flying to low over urban areas.If they let the dirigibles dock there they would risk the dirigibles @CAPS2 on fire because dirigibles from outside the U.S. used hydrogen instead of helium. and the Hydrogen is highly flammable. Another Obstacle would be the Wind, the winds were Shifting because of violent air currents. The back of the ship would swivel around, and if they put weights on the back it would not be safe for pedestrians on the street. And the last obstacle would be the law against airships flying to low over urban area, I would make it illegal for a Ship to tie to the building. Those were the @CAPS1 they faced.",4,3,,4,,,,,,,,,,,,,,,,,,,,,"ID1,ORG1,STY2"
12489,5,"In the memoir ""Narciso Rodriguez"" From Home: The Blueprints of Our lives the author created many moods. One mood was @CAPS1 and Friendship. @PERSON1's parents kept their arms open for anyone who needed help. so did every neighbor he hade. They all came together and had fun even when they had different backrounds. You hade to make as many Friends as you could to help you live a healthy life.          Another mood that was created was calm. In the house there was ""Passionate Cuban music"" and the air smelled of traditionally Cuban @CAPS2. This was because their family was Cuban so they wanted to keep traditions and make a better environment.             The last mood that their was was harsh and sacrifice. @PERSON1's Parents had to give up a lot like family, friends, job, and have just to move to @LOCATION1.  And when they got here they had to start fresh and take any jobs they could Find. His parents life was hard they tried to make it as good as they could For, their son. It was hard for them but they got by and did a great job.",3,4,,4,,,,,,,,,,,,,,,,,,,,,"ID1,ORG2,STY2"
15270,6,"Obstacles that the builders of the Empire state building were, They had planned for dirigibles to tie to the mast could not because the way of the height of the building was @CAPS1 high dirigibles would not be able to keep @CAPS2 while unloading. For example in paragraph @NUM1 it says ""the goodyear blim columbia, attempted a publicity stunt Where it would it tie up and deliever a bundle of newspapers"", ""Because the complete dirigible mooring equipment had Never been installed, a worker atop the mooring mast would have to catch the bundle of newspapers on a rope dangling from the blimp"". other obstacles were, that dirigibles outside the united states had hydrogen in them Instead of helium, and hydrogen was very flammable.",2,2,,2,,,,,,,,,,,,,,,,,,,,,"ID2,ORG2,STY2"
21605,8," Laughter is an integral element to many situations. These situations vary greatly, disasters to the desire to be cheered up to simply wanting to be amused. Humor can make light of circumstances no matter how grave, terrifying or uneasing. The recent earthquakes and subsequent tsunami in @LOCATION2 made me very worried for my friend @CAPS1. He lives in @LOCATION1 which I at the time I, and many of my other friends thought was close to some of the more affected areas. Of course, we were all scared for him, but we tried to the best of our ability to make light of this disaster. Our fears were made even worse when he never logged onto the ning or facebook, but we know now that was just because electricity was down for him that night (night for us). When we learned he was safe, at least for the time being we were all incredibly relieved. Humor really helped diffuse the situation, as it has many times before. As of now this is still a story in the making because as this is being written there are still great dangers for that region, not the least of which is the threat of nuclear meltdown. The jokes are continuing into the week. I believe humor can be very helpful during worrying times because making light of a serious situation in a way, makes it feel less serious.  Of course many people look down upon doing this, which is completely understandable. They either don't see that we are legitimately fearful or don't understand and believe we're just joking about it to be ""edgy"" or ""offensive"". People who feel the need to joke about dangerous situations aren't intent upon being malicious or uncaring, they, most often, are people with with a sense of humor and a sense of distress.",18,18,,36,,,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,,,"ID2,ORG2,STY2"
12543,5,"The mood created by the @CAPS1 in the memoir is by in paragraph @NUM1 it say's ""Growing up in this environment instilled in me a great sense The ""family"" had Nothing to do with being a blood relative."" and in paragraph @NUM2 it say's ""it was in the warmth of the kitchen in this humble house where a Cuban feast (albeit a frugal Cuban feast) always filled the air with Not just scent and music but life and love It was here where I Learned The real definition of ""family."" These are the mood created by The @CAPS1 in the memoir. ",2,2,,2,,,,,,,,,,,,,,,,,,,,,"ID2,ORG3,STY2"
511,1,"Dear Newspaper, I think a computer is not something bad for you. A computer can help you do many things @CAPS1 could help you learn, chat with friends, and @CAPS1 can entertain you. A computer can get you sucessful in life @CAPS1 helps you learn a lot of things such as computer engineering. Computer engineering is a job that pays you good money to fix computers. @CAPS1 is very challenging at first, but when you look @CAPS1 up on search websites you'll find all your answers. Chatting is the number one thing kids, adults , and teenagers do. @CAPS1 is good and bad in a way, @CAPS1 is good because because your phone bill wont be that high up so you save minutes. @CAPS1 is bad because @CAPS1 can also ruin your eyes just remeber dont get to close to the screen. The computer is all about fun, you have millions of websites you can go on. To have fun for example @CAPS2.com, @LOCATION1, and @CAPS3.com those are the three main ones I go on they are so fun. They have tons of games for kids and for adults too. I Have proven my point that computers are not bad for you because they can help you learn, they lower your phone bill, and its also very fun. Yes I know they might take exercise time away, or hurt your eyes but who cares just make up a time limit so you have time to exercise. Do not get to close to the screen because @CAPS1 can hurt your eyes.",4,4,,8,,,,,,,,,,,,,,,,,,,,,"ID1,ORG1,STY2"
